CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
52|520702|Franchising and Franchise Operations.|A program that prepares individuals to manage and operate franchises.  Includes instruction in legal requirements, set-up costs and capitalization requirements, financing, and applications to specific franchise opportunities.|NULL|NULL|NULL|Business
52|520703|Small Business Administration/Management.|A program that prepares individuals to develop and manage independent small businesses.  Includes instruction in business administration; enterprise planning and entrepreneurship; start-up; small business operations and problems; personnel supervision; ca|NULL|Y|NULL|Business
52|520799|Entrepreneurial and Small Business Operations, Other.|Any instructional program in enterprise management and entrepreneurship not listed above.|NULL|NULL|NULL|Business
52|5208|Finance and Financial Management Services.|Instructional content for this group of programs is defined in codes 52.0801 - 52.0899.|NULL|NULL|NULL|Business
52|520801|Finance, General.|A program that generally prepares individuals to plan, manage, and analyze the financial and monetary aspects and performance of business enterprises, banking institutions, or other organizations.  Includes instruction in principles of accounting, financi|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520803|Banking and Financial Support Services.|A program that prepares individuals to perform a wide variety of customer services in banks, insurance agencies, savings and loan companies, and related enterprises.  Includes instruction in communications and public relations skills, business equipment o|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520804|Financial Planning and Services.|A program that prepares individuals to plan and manage the financial interests and growth of individuals and institutions.  Includes instruction in portfolio management, investment management, estate planning, insurance, tax planning, strategic investing |19.0401 - Family Resource Management Studies, General.|NULL|NULL|Business
52|520806|International Finance.|A program that prepares individuals to manage international financial operations and related currency transactions.  Includes instruction in international banking, international monetary and financial policy, money and capital markets, foreign exchange, r|45.0605 - International Economics.|NULL|NULL|Business
52|520807|Investments and Securities.|A program that prepares individuals to manage assets placed in capital markets, and related technical operations.  Includes instruction in security analysis, debt and equity analysis, investment strategies, securities markets, computer-assisted research, |NULL|NULL|NULL|Business
52|520808|Public Finance.|A program that prepares individuals to manage the financial assets and budgets of public sector organizations.  Includes instruction in public trusts and investments; the laws and procedures used to plan, prepare and administer public agency budgets; and |NULL|NULL|NULL|Business
52|520809|Credit Management.|A program that prepares individuals to perform and/or manage operations concerning personal and corporate credit, collateral, loan processing, and related financial agency communications.  Includes instruction in general finance and banking principles, in|NULL|NULL|NULL|Business
52|520899|Finance and Financial Management Services, Other.|Any instructional program in financial management and services not listed above.|NULL|NULL|NULL|Business
52|5209|Hospitality Administration/Management.|Instructional content for this group of programs is defined in codes 52.0901 - 52.0999.|NULL|NULL|NULL|Business
52|520901|Hospitality Administration/Management, General.|A program that prepares individuals to serve as general managers and directors of hospitality operations on a system-wide basis, including both travel arrangements and promotion and the provision of traveler facilities.  Includes instruction in principles|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520903|Tourism and Travel Services Management.|A program that prepares individuals to manage travel-related enterprises and related convention and/or tour services.  Includes instruction in travel agency management, tour arranging and planning, convention and event planning, travel industry operations|03.0207 - Natural Resource Recreation and Tourism.|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520904|Hotel/Motel Administration/Management.|A program that prepares individuals to manage operations and facilities that provide lodging services to the traveling public. Includes instruction in hospitality industry principles; supplies purchasing, storage and control; hotel facilities design and p|NULL|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520905|Restaurant/Food Services Management.|A program that prepares individuals to plan, manage, and market restaurants, food services in hospitality establishments, food service chains and franchise networks, and restaurant supply operations.  Includes instruction in hospitality administration, fo|12.0504 - Restaurant, Culinary, and Catering Management/Manager., 19.0505 - Foodservice Systems Administration/Management.|Y|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|Business
52|520906|Resort Management.|A program that prepares individuals to plan, manage, and market comprehensive vacation facilities and services and related products.  Includes instruction in hospitality administration, hotel/motel management, restaurant and food services management, faci|NULL|NULL|NULL|Business
52|520907|Meeting and Event Planning.|A program that prepares individuals to plan, budget, and implement conferences, meetings, and other special events in the public or private sectors. Includes instruction in principles of meeting and event planning; special event management; budgets and fi|19.0604 - Facilities Planning and Management.|Y|NULL|Business
52|520908|Casino Management.|A program that prepares individuals to manage casinos and gaming establishments. Includes instruction in casino operations, casino security and surveillance, principles of the gaming industry, ethics, and gaming law.|NULL|NULL|NULL|Business
